road_name_in_googleMap,Accident_date,accident_time,vehicle_type,road_type,seviarity_of_accident,near_by_hospital,near_by_school,near_by_chrch,No_of_bildings_near_300m_of_accident_area,death
Karve Road,2019-10-11 09:03:43.253438,22:17,Bicycle,Residential,Minor,1,1,0,24,1
MG Road,2024-05-05 09:03:43.253438,22:04,Bicycle,Rural,Minor,0,0,1,19,1
Baner Road,2022-12-27 09:03:43.253438,06:50,Bicycle,Rural,Minor,1,0,1,43,0
MG Road,2022-04-28 09:03:43.253438,22:35,Bus,Main Road,Fatal,0,0,0,14,0
Sinhagad Road,2020-06-24 09:03:43.253438,00:18,Bus,Main Road,Minor,1,1,1,21,0
Karve Road,2021-10-31 09:03:43.253438,15:25,Car,Residential,Major,1,1,0,39,1
Aundh Road,2020-12-06 09:03:43.253438,09:25,Truck,Main Road,Minor,0,1,1,41,0
Satara Road,2023-03-18 09:03:43.253438,03:36,Pedestrian,Main Road,Minor,0,0,0,30,0
FC Road,2020-03-21 09:03:43.253438,13:49,Car,Rural,Fatal,1,1,1,17,1
Karve Road,2020-02-29 09:03:43.253438,02:09,Truck,Residential,Major,1,1,0,7,0
Karve Road,2022-04-12 09:03:43.253438,16:04,Bike,Main Road,Fatal,1,0,1,20,0
Kothrud Road,2021-12-02 09:03:43.253438,03:40,Pedestrian,Residential,Minor,1,0,1,31,0
Baner Road,2023-12-03 09:03:43.253438,20:04,Truck,Main Road,Fatal,0,0,1,41,0
FC Road,2021-10-02 09:03:43.253438,08:59,Car,Rural,Major,0,1,0,46,0
Karve Road,2020-04-17 09:03:43.253438,18:08,Car,Residential,Major,0,0,1,4,0
Kothrud Road,2021-09-14 09:03:43.253438,05:43,Bike,Main Road,Major,0,1,1,3,0
Paud Road,2024-06-28 09:03:43.253438,14:46,Bicycle,Highway,Major,0,1,0,37,1
Sinhagad Road,2024-01-23 09:03:43.253438,08:50,Pedestrian,Rural,Major,0,0,0,42,0
Sinhagad Road,2022-05-28 09:03:43.253438,11:49,Car,Highway,Fatal,1,1,0,22,1
Satara Road,2020-07-09 09:03:43.253438,13:16,Auto-rickshaw,Residential,Major,1,0,1,35,1
Satara Road,2020-12-24 09:03:43.253438,03:58,Bicycle,Rural,Fatal,0,0,0,24,1
Karve Road,2024-03-01 09:03:43.253438,01:45,Pedestrian,Rural,Minor,0,0,1,30,1
Karve Road,2022-04-14 09:03:43.253438,03:13,Pedestrian,Main Road,Major,0,1,0,31,0
FC Road,2022-01-04 09:03:43.253438,14:13,Car,Residential,Fatal,1,0,0,45,1
Baner Road,2023-08-17 09:03:43.253438,11:36,Auto-rickshaw,Highway,Minor,0,0,0,12,1
Karve Road,2021-07-20 09:03:43.253438,10:17,Car,Highway,Major,1,0,0,45,1
Sinhagad Road,2022-07-14 09:03:43.253438,08:28,Car,Highway,Major,0,0,0,36,1
Aundh Road,2020-11-20 09:03:43.253438,16:38,Bike,Rural,Minor,1,1,1,33,1
Karve Road,2024-03-01 09:03:43.253438,11:15,Bicycle,Highway,Major,1,1,1,22,0
Kothrud Road,2023-10-19 09:03:43.253438,23:35,Auto-rickshaw,Rural,Minor,1,1,0,0,0
Sinhagad Road,2021-11-18 09:03:43.253438,05:01,Pedestrian,Highway,Minor,0,1,1,13,0
Karve Road,2020-05-08 09:03:43.253438,16:37,Bike,Main Road,Major,0,0,0,4,1
MG Road,2021-10-25 09:03:43.253438,14:29,Auto-rickshaw,Residential,Minor,0,0,1,0,1
MG Road,2020-12-06 09:03:43.253438,00:22,Auto-rickshaw,Residential,Minor,0,0,0,27,0
MG Road,2021-08-12 09:03:43.253438,01:18,Pedestrian,Main Road,Major,0,0,0,42,0
Baner Road,2020-11-03 09:03:43.253438,07:06,Pedestrian,Main Road,Fatal,0,1,1,0,0
Shivaji Road,2022-10-22 09:03:43.253438,08:30,Bus,Rural,Fatal,0,0,1,0,0
Kothrud Road,2022-05-21 09:03:43.253438,20:56,Auto-rickshaw,Residential,Minor,1,1,0,37,1
Kothrud Road,2024-02-13 09:03:43.253438,13:18,Bike,Highway,Minor,0,1,1,17,1
Sinhagad Road,2023-07-17 09:03:43.253438,21:51,Bike,Main Road,Minor,1,0,0,7,1
Aundh Road,2022-04-11 09:03:43.253438,00:14,Truck,Main Road,Fatal,0,0,0,44,0
Sinhagad Road,2021-03-28 09:03:43.253438,18:58,Bicycle,Rural,Major,0,1,0,42,0
FC Road,2023-04-04 09:03:43.253438,15:38,Bicycle,Rural,Major,0,1,0,19,0
Paud Road,2023-10-24 09:03:43.253438,07:06,Bicycle,Residential,Fatal,0,0,1,35,0
MG Road,2021-12-09 09:03:43.253438,17:48,Car,Highway,Fatal,0,1,0,49,0
Aundh Road,2022-03-06 09:03:43.253438,00:21,Bus,Main Road,Major,0,1,1,32,1
Paud Road,2021-02-28 09:03:43.253438,21:39,Car,Main Road,Minor,0,1,1,24,0
Paud Road,2020-05-17 09:03:43.253438,22:16,Bike,Rural,Major,0,0,1,17,1
Paud Road,2023-07-26 09:03:43.253438,16:53,Bus,Highway,Major,1,1,0,7,1
Baner Road,2021-07-13 09:03:43.253438,03:49,Auto-rickshaw,Main Road,Minor,0,0,1,25,0
Karve Road,2024-03-04 09:03:43.253438,04:26,Pedestrian,Residential,Major,1,0,1,39,0
Paud Road,2020-02-27 09:03:43.253438,12:09,Bicycle,Rural,Fatal,1,0,1,12,0
Karve Road,2022-03-29 09:03:43.253438,16:51,Bike,Rural,Major,1,1,0,46,0
Satara Road,2024-07-30 09:03:43.253438,12:18,Pedestrian,Residential,Fatal,1,0,0,6,1
MG Road,2024-03-03 09:03:43.253438,11:42,Bike,Rural,Major,0,0,0,7,1
Paud Road,2023-07-31 09:03:43.253438,14:25,Bike,Rural,Fatal,0,0,1,32,0
Kothrud Road,2022-09-06 09:03:43.253438,23:14,Bike,Highway,Major,1,1,0,37,0
Karve Road,2020-03-11 09:03:43.253438,00:20,Bus,Residential,Fatal,0,1,1,33,0
Kothrud Road,2021-05-29 09:03:43.253438,17:12,Pedestrian,Main Road,Major,1,1,0,14,0
Kothrud Road,2020-06-15 09:03:43.253438,23:39,Car,Rural,Minor,0,0,0,36,0
Shivaji Road,2023-05-07 09:03:43.253438,01:25,Car,Residential,Minor,1,1,0,16,0
Paud Road,2021-09-06 09:03:43.253438,05:56,Bicycle,Highway,Minor,0,0,0,8,0
Satara Road,2023-07-12 09:03:43.253438,15:47,Auto-rickshaw,Residential,Minor,1,0,0,1,0
Aundh Road,2021-09-21 09:03:43.253438,15:28,Bike,Main Road,Major,1,1,0,17,1
Kothrud Road,2020-04-06 09:03:43.253438,08:53,Pedestrian,Main Road,Minor,1,1,1,40,0
MG Road,2022-05-13 09:03:43.253438,05:35,Pedestrian,Rural,Fatal,1,0,1,33,1
FC Road,2024-06-16 09:03:43.253438,13:18,Bicycle,Residential,Fatal,1,0,1,11,1
Kothrud Road,2020-02-24 09:03:43.253438,07:02,Bike,Rural,Minor,0,0,1,27,0
MG Road,2022-11-26 09:03:43.253438,06:32,Bicycle,Highway,Minor,1,0,1,25,0
Sinhagad Road,2021-08-01 09:03:43.253438,05:26,Car,Highway,Minor,0,1,0,31,0
MG Road,2023-02-23 09:03:43.253438,14:09,Pedestrian,Rural,Fatal,0,0,1,0,1
Baner Road,2019-11-25 09:03:43.253438,20:31,Bicycle,Residential,Major,1,0,1,41,0
Aundh Road,2022-12-18 09:03:43.253438,10:06,Auto-rickshaw,Highway,Minor,0,0,0,3,0
Sinhagad Road,2022-06-02 09:03:43.253438,23:19,Bicycle,Main Road,Major,1,0,1,4,0
Shivaji Road,2019-12-25 09:03:43.253438,20:30,Truck,Rural,Major,0,0,0,48,0
MG Road,2022-09-04 09:03:43.253438,14:09,Bus,Highway,Fatal,1,0,1,49,1
MG Road,2022-11-20 09:03:43.253438,19:04,Pedestrian,Residential,Minor,0,1,0,7,1
Karve Road,2023-10-17 09:03:43.253438,02:57,Pedestrian,Main Road,Minor,0,1,0,12,0
Satara Road,2021-03-16 09:03:43.253438,18:02,Bicycle,Rural,Major,1,0,1,49,0
Aundh Road,2023-09-25 09:03:43.253438,19:24,Pedestrian,Main Road,Fatal,1,1,1,7,0
Baner Road,2022-01-06 09:03:43.253438,21:52,Bicycle,Rural,Minor,1,1,1,14,0
Kothrud Road,2024-07-31 09:03:43.253438,01:48,Car,Rural,Minor,0,1,0,23,0
Baner Road,2024-08-28 09:03:43.253438,20:37,Bus,Residential,Fatal,0,0,0,21,0
Shivaji Road,2021-09-28 09:03:43.253438,10:57,Car,Highway,Fatal,1,0,0,4,0
Paud Road,2019-11-27 09:03:43.253438,11:01,Auto-rickshaw,Highway,Major,1,1,0,7,0
Paud Road,2021-06-02 09:03:43.253438,22:59,Bike,Rural,Minor,1,1,1,26,0
Baner Road,2021-02-15 09:03:43.253438,16:30,Truck,Main Road,Minor,0,1,1,9,1
Shivaji Road,2021-08-23 09:03:43.253438,19:51,Bus,Main Road,Major,0,0,1,8,0
Kothrud Road,2020-11-19 09:03:43.253438,18:11,Truck,Residential,Fatal,0,0,1,4,1
Sinhagad Road,2023-08-16 09:03:43.253438,09:16,Bike,Highway,Minor,0,0,1,1,0
Satara Road,2022-05-01 09:03:43.253438,21:30,Car,Main Road,Fatal,1,1,1,9,1
Satara Road,2023-11-01 09:03:43.253438,18:11,Auto-rickshaw,Highway,Major,0,0,1,40,0
Baner Road,2023-12-14 09:03:43.253438,06:49,Bike,Residential,Minor,1,1,1,49,0
Satara Road,2020-01-10 09:03:43.253438,01:17,Truck,Rural,Minor,0,0,0,11,1
Baner Road,2022-05-20 09:03:43.253438,12:00,Pedestrian,Main Road,Fatal,1,0,1,2,1
Paud Road,2020-10-17 09:03:43.253438,09:54,Truck,Residential,Fatal,0,1,1,3,1
MG Road,2023-08-28 09:03:43.253438,04:23,Truck,Highway,Major,0,1,1,48,1
Sinhagad Road,2022-09-16 09:03:43.253438,23:24,Car,Highway,Minor,0,1,1,16,0
Satara Road,2021-03-04 09:03:43.253438,05:44,Pedestrian,Rural,Major,0,1,0,24,1
FC Road,2020-02-14 09:03:43.253438,10:35,Bicycle,Rural,Fatal,0,0,1,47,1
Paud Road,2023-03-19 09:03:43.253438,11:15,Truck,Main Road,Minor,0,1,1,26,1
Shivaji Road,2024-01-17 09:03:43.253438,13:54,Car,Main Road,Major,0,0,1,29,0
FC Road,2023-05-26 09:03:43.253438,09:28,Pedestrian,Residential,Minor,0,1,0,43,1
Karve Road,2020-10-26 09:03:43.253438,08:07,Truck,Main Road,Minor,0,0,1,40,0
Satara Road,2020-02-16 09:03:43.253438,17:39,Bus,Rural,Minor,1,0,1,25,0
Baner Road,2020-12-27 09:03:43.253438,03:44,Bicycle,Highway,Fatal,0,1,0,0,1
Satara Road,2020-04-03 09:03:43.253438,21:45,Pedestrian,Rural,Major,0,0,1,48,1
Kothrud Road,2022-09-06 09:03:43.253438,02:59,Pedestrian,Main Road,Major,0,0,0,1,0
Kothrud Road,2021-03-22 09:03:43.253438,06:51,Bus,Highway,Major,1,0,1,48,1
Aundh Road,2022-05-21 09:03:43.253438,16:29,Bicycle,Rural,Minor,0,1,0,36,1
Sinhagad Road,2021-06-17 09:03:43.253438,15:38,Bike,Main Road,Major,0,1,1,39,0
Kothrud Road,2022-06-06 09:03:43.253438,06:23,Bike,Rural,Major,1,1,0,0,0
MG Road,2024-07-11 09:03:43.253438,09:06,Bicycle,Rural,Minor,1,1,1,38,0
Baner Road,2021-12-03 09:03:43.253438,14:12,Auto-rickshaw,Rural,Fatal,1,0,1,24,1
Satara Road,2022-04-03 09:03:43.253438,05:46,Truck,Rural,Minor,1,1,0,19,0
Sinhagad Road,2021-02-19 09:03:43.253438,21:45,Truck,Rural,Minor,0,1,1,8,0
Sinhagad Road,2024-03-07 09:03:43.253438,19:03,Car,Rural,Fatal,1,0,0,26,1
Karve Road,2019-09-24 09:03:43.253438,00:21,Bicycle,Rural,Minor,0,1,1,21,0
FC Road,2023-01-05 09:03:43.253438,09:02,Pedestrian,Rural,Fatal,0,0,0,9,0
Aundh Road,2020-01-20 09:03:43.253438,09:43,Bike,Residential,Minor,1,1,1,24,0
Satara Road,2024-04-08 09:03:43.253438,21:53,Bicycle,Rural,Major,1,1,1,4,1
Aundh Road,2020-04-28 09:03:43.253438,21:07,Bus,Rural,Minor,1,1,0,18,1
Sinhagad Road,2020-12-24 09:03:43.253438,13:30,Car,Residential,Minor,1,0,0,11,0
Kothrud Road,2020-10-06 09:03:43.253438,16:02,Bus,Highway,Minor,0,1,1,46,1
Paud Road,2022-05-13 09:03:43.253438,16:56,Car,Residential,Fatal,1,1,1,22,1
Aundh Road,2023-10-18 09:03:43.253438,19:52,Bike,Main Road,Fatal,1,0,0,13,1
MG Road,2024-01-26 09:03:43.253438,19:06,Truck,Highway,Fatal,1,1,1,41,1
Paud Road,2022-07-24 09:03:43.253438,23:01,Bicycle,Main Road,Minor,1,1,0,27,1
Baner Road,2021-06-15 09:03:43.253438,20:19,Truck,Highway,Fatal,1,0,1,28,1
Paud Road,2024-04-18 09:03:43.253438,10:42,Bike,Rural,Minor,0,0,1,12,1
MG Road,2021-10-14 09:03:43.253438,00:15,Bicycle,Highway,Minor,1,0,1,15,1
FC Road,2023-07-15 09:03:43.253438,21:48,Pedestrian,Rural,Minor,1,1,1,28,0
Satara Road,2020-01-10 09:03:43.253438,20:53,Bus,Highway,Fatal,0,1,0,40,0
Aundh Road,2023-11-07 09:03:43.253438,05:50,Auto-rickshaw,Rural,Fatal,0,0,1,2,1
Kothrud Road,2021-05-04 09:03:43.253438,16:07,Auto-rickshaw,Residential,Fatal,1,1,1,43,1
FC Road,2023-04-03 09:03:43.253438,03:19,Bike,Residential,Minor,0,1,0,18,1
MG Road,2020-02-28 09:03:43.253438,15:26,Pedestrian,Residential,Major,1,0,0,0,0
FC Road,2021-01-17 09:03:43.253438,16:35,Car,Highway,Fatal,0,0,1,8,1
Aundh Road,2022-06-05 09:03:43.253438,09:47,Truck,Rural,Minor,1,1,1,20,1
FC Road,2020-01-17 09:03:43.253438,05:36,Bus,Rural,Major,0,0,0,41,0
Baner Road,2022-05-14 09:03:43.253438,14:50,Auto-rickshaw,Rural,Major,0,0,0,19,1
Karve Road,2021-06-28 09:03:43.253438,12:45,Truck,Residential,Fatal,1,1,0,6,0
Aundh Road,2023-11-30 09:03:43.253438,09:21,Bike,Residential,Minor,1,1,1,5,1
Satara Road,2021-05-28 09:03:43.253438,07:25,Truck,Highway,Fatal,0,0,0,8,0
Paud Road,2023-11-21 09:03:43.253438,14:01,Bicycle,Residential,Fatal,0,1,1,14,1
Aundh Road,2020-08-20 09:03:43.253438,07:42,Auto-rickshaw,Highway,Major,0,0,0,8,1
MG Road,2021-01-23 09:03:43.253438,09:54,Pedestrian,Residential,Fatal,1,0,0,12,0
FC Road,2020-12-25 09:03:43.253438,15:08,Bus,Highway,Fatal,0,0,1,35,0
Aundh Road,2023-08-29 09:03:43.253438,13:34,Car,Highway,Fatal,0,0,0,20,1
FC Road,2021-11-22 09:03:43.253438,01:41,Car,Highway,Major,0,1,1,24,0
Kothrud Road,2022-01-28 09:03:43.253438,05:41,Bicycle,Residential,Major,1,0,1,37,1
Shivaji Road,2021-04-08 09:03:43.253438,00:35,Pedestrian,Highway,Fatal,1,0,1,20,1
Satara Road,2020-11-21 09:03:43.253438,18:54,Bicycle,Highway,Major,0,0,1,5,0
Sinhagad Road,2021-02-26 09:03:43.253438,01:39,Truck,Main Road,Major,0,1,0,30,0
Shivaji Road,2022-03-07 09:03:43.253438,23:57,Car,Main Road,Fatal,0,0,1,37,1
Aundh Road,2024-08-05 09:03:43.253438,00:41,Auto-rickshaw,Highway,Minor,0,0,1,23,1
MG Road,2022-02-03 09:03:43.253438,21:59,Pedestrian,Highway,Fatal,1,1,1,11,1
Karve Road,2020-09-15 09:03:43.253438,13:12,Bus,Residential,Minor,0,1,1,2,1
Satara Road,2020-01-03 09:03:43.253438,22:08,Car,Rural,Major,1,0,1,49,0
Sinhagad Road,2021-10-26 09:03:43.253438,23:16,Car,Residential,Minor,1,0,0,38,1
Kothrud Road,2021-06-13 09:03:43.253438,11:31,Bike,Highway,Minor,1,0,1,34,1
Karve Road,2022-07-30 09:03:43.253438,15:38,Car,Residential,Major,0,1,1,4,0
Paud Road,2023-04-16 09:03:43.253438,19:02,Car,Residential,Fatal,0,0,1,43,0
FC Road,2021-08-19 09:03:43.253438,09:47,Auto-rickshaw,Highway,Fatal,1,0,1,4,1
Shivaji Road,2021-01-22 09:03:43.253438,14:28,Pedestrian,Residential,Major,0,1,0,1,1
Karve Road,2023-08-15 09:03:43.253438,12:20,Car,Rural,Fatal,1,1,0,46,0
FC Road,2021-02-01 09:03:43.253438,01:47,Bike,Main Road,Minor,0,1,1,5,1
Sinhagad Road,2022-08-17 09:03:43.253438,13:08,Bike,Rural,Minor,1,1,1,12,0
Kothrud Road,2023-04-09 09:03:43.253438,18:36,Bicycle,Residential,Minor,1,1,1,35,1
Sinhagad Road,2020-06-15 09:03:43.253438,08:07,Bike,Residential,Major,0,0,1,31,0
Kothrud Road,2024-08-16 09:03:43.253438,20:54,Car,Rural,Minor,0,1,1,22,0
Kothrud Road,2019-12-25 09:03:43.253438,16:50,Bicycle,Highway,Major,1,1,0,8,1
Baner Road,2021-09-23 09:03:43.253438,10:21,Truck,Residential,Fatal,0,1,1,22,0
Baner Road,2020-01-04 09:03:43.253438,09:41,Truck,Rural,Major,1,0,0,20,0
Satara Road,2022-09-30 09:03:43.253438,06:12,Auto-rickshaw,Main Road,Major,1,0,0,24,0
Baner Road,2023-05-08 09:03:43.253438,13:10,Pedestrian,Highway,Major,1,0,0,33,0
Baner Road,2021-10-01 09:03:43.253438,02:19,Truck,Main Road,Major,1,0,1,8,1
FC Road,2019-12-24 09:03:43.253438,13:45,Auto-rickshaw,Residential,Minor,0,0,1,18,0
Aundh Road,2021-10-07 09:03:43.253438,14:05,Auto-rickshaw,Rural,Minor,1,1,1,26,0
Shivaji Road,2022-01-28 09:03:43.253438,02:59,Bicycle,Highway,Major,1,0,1,37,1
Shivaji Road,2020-03-04 09:03:43.253438,18:02,Bike,Highway,Major,1,1,0,5,1
Paud Road,2020-11-27 09:03:43.253438,15:52,Bus,Highway,Minor,1,0,1,48,1
MG Road,2024-08-23 09:03:43.253438,14:26,Auto-rickshaw,Main Road,Minor,0,1,0,4,0
Kothrud Road,2023-08-22 09:03:43.253438,14:34,Pedestrian,Highway,Minor,1,1,1,5,1
Sinhagad Road,2022-11-19 09:03:43.253438,22:08,Car,Rural,Fatal,1,0,0,4,0
FC Road,2023-09-22 09:03:43.253438,20:10,Bike,Residential,Minor,1,0,1,37,0
Kothrud Road,2023-07-29 09:03:43.253438,03:18,Car,Rural,Fatal,1,1,1,4,0
MG Road,2023-09-29 09:03:43.253438,07:47,Car,Highway,Fatal,1,0,1,27,1
Baner Road,2020-05-15 09:03:43.253438,07:05,Truck,Highway,Fatal,0,1,1,23,0
Paud Road,2021-02-01 09:03:43.253438,03:07,Car,Rural,Minor,1,0,1,13,0
Baner Road,2021-09-01 09:03:43.253438,11:42,Bicycle,Residential,Minor,1,0,1,9,0
Kothrud Road,2021-04-05 09:03:43.253438,10:14,Auto-rickshaw,Rural,Minor,0,1,1,35,0
Paud Road,2024-08-12 09:03:43.253438,23:53,Pedestrian,Highway,Major,1,0,1,48,1
MG Road,2020-04-21 09:03:43.253438,08:38,Car,Highway,Fatal,1,0,1,40,1
Sinhagad Road,2021-09-25 09:03:43.253438,04:16,Pedestrian,Main Road,Minor,1,0,0,4,1
Sinhagad Road,2020-01-27 09:03:43.253438,09:16,Car,Residential,Minor,1,0,1,1,1
Satara Road,2020-08-08 09:03:43.253438,04:20,Truck,Residential,Minor,0,1,0,30,0
Karve Road,2021-07-04 09:03:43.253438,06:50,Car,Highway,Major,0,0,0,16,0
Karve Road,2024-06-02 09:03:43.253438,05:22,Auto-rickshaw,Main Road,Major,1,0,1,20,1
Sinhagad Road,2023-09-23 09:03:43.253438,20:54,Auto-rickshaw,Main Road,Fatal,0,0,1,31,1
Karve Road,2020-12-05 09:03:43.253438,23:50,Car,Main Road,Major,0,0,0,33,0
Shivaji Road,2022-06-25 09:03:43.253438,23:30,Auto-rickshaw,Main Road,Minor,1,1,0,28,1
Aundh Road,2024-06-06 09:03:43.253438,09:14,Bicycle,Rural,Minor,0,0,1,47,1
MG Road,2023-06-15 09:03:43.253438,12:04,Bicycle,Main Road,Minor,0,0,0,19,1
Aundh Road,2024-06-03 09:03:43.253438,02:39,Auto-rickshaw,Residential,Major,0,0,0,32,0
Karve Road,2020-12-15 09:03:43.253438,04:35,Truck,Rural,Fatal,1,1,1,8,0
Baner Road,2020-08-05 09:03:43.253438,17:01,Pedestrian,Highway,Major,0,0,1,21,0
Satara Road,2022-11-29 09:03:43.253438,21:53,Bike,Residential,Major,0,1,0,27,0
Karve Road,2020-02-26 09:03:43.253438,17:31,Bicycle,Rural,Major,0,0,1,46,0
FC Road,2023-01-18 09:03:43.253438,09:50,Bike,Residential,Minor,1,1,0,35,1
Kothrud Road,2020-04-28 09:03:43.253438,09:31,Bus,Rural,Major,0,1,1,41,1
Paud Road,2020-03-07 09:03:43.253438,21:14,Pedestrian,Residential,Major,0,1,0,31,1
Baner Road,2021-12-09 09:03:43.253438,22:59,Bike,Main Road,Fatal,1,0,1,37,1
Kothrud Road,2022-12-13 09:03:43.253438,23:21,Bicycle,Main Road,Minor,0,1,0,2,1
Shivaji Road,2020-03-18 09:03:43.253438,08:12,Bicycle,Residential,Major,0,0,0,1,0
Satara Road,2020-07-27 09:03:43.253438,21:04,Car,Residential,Minor,0,0,0,26,1
FC Road,2021-05-09 09:03:43.253438,01:19,Auto-rickshaw,Highway,Major,1,1,0,23,1
Shivaji Road,2022-07-21 09:03:43.253438,06:52,Bike,Main Road,Minor,0,0,0,23,0
Shivaji Road,2024-01-27 09:03:43.253438,10:23,Truck,Highway,Fatal,1,1,1,31,1
Shivaji Road,2023-08-18 09:03:43.253438,02:39,Bus,Highway,Major,0,1,0,28,1
Sinhagad Road,2021-11-17 09:03:43.253438,06:55,Car,Main Road,Fatal,0,1,1,10,1
Kothrud Road,2024-03-24 09:03:43.253438,02:51,Bike,Highway,Fatal,0,1,0,21,1
Paud Road,2020-03-10 09:03:43.253438,18:32,Auto-rickshaw,Main Road,Fatal,1,1,1,39,1
Aundh Road,2023-05-17 09:03:43.253438,13:25,Truck,Highway,Minor,0,1,1,24,1
FC Road,2022-01-25 09:03:43.253438,15:40,Bicycle,Rural,Minor,0,1,1,2,0
Aundh Road,2022-07-27 09:03:43.253438,01:45,Bike,Highway,Fatal,1,0,0,18,1
FC Road,2020-08-11 09:03:43.253438,11:32,Auto-rickshaw,Rural,Minor,1,0,0,36,1
MG Road,2020-04-19 09:03:43.253438,00:33,Bike,Main Road,Fatal,0,0,1,48,0
Sinhagad Road,2020-08-25 09:03:43.253438,08:29,Car,Residential,Minor,1,0,0,46,0
FC Road,2020-10-02 09:03:43.253438,01:14,Bus,Rural,Minor,0,0,1,23,1
Karve Road,2022-09-16 09:03:43.253438,15:08,Pedestrian,Residential,Major,1,1,1,28,0
Karve Road,2019-09-26 09:03:43.253438,20:14,Auto-rickshaw,Residential,Major,0,1,1,34,0
MG Road,2024-01-19 09:03:43.253438,00:22,Bus,Residential,Fatal,0,0,1,4,0
Paud Road,2019-12-18 09:03:43.253438,06:22,Bus,Main Road,Major,1,1,0,48,0
Satara Road,2020-01-23 09:03:43.253438,20:21,Bicycle,Rural,Minor,1,1,1,27,1
Sinhagad Road,2021-02-12 09:03:43.253438,10:57,Pedestrian,Highway,Minor,1,1,0,16,1
Shivaji Road,2022-03-29 09:03:43.253438,15:00,Truck,Main Road,Minor,0,0,1,39,1
Kothrud Road,2021-10-03 09:03:43.253438,21:19,Pedestrian,Main Road,Minor,1,0,1,16,0
Baner Road,2023-08-11 09:03:43.253438,22:42,Auto-rickshaw,Main Road,Major,1,1,0,45,0
Sinhagad Road,2024-06-05 09:03:43.253438,09:56,Truck,Highway,Minor,0,0,0,42,1
MG Road,2023-06-21 09:03:43.253438,22:48,Bicycle,Rural,Minor,1,0,1,13,1
Karve Road,2022-04-15 09:03:43.253438,08:22,Pedestrian,Residential,Minor,0,1,1,33,0
Kothrud Road,2020-10-02 09:03:43.253438,03:06,Bus,Main Road,Minor,0,0,0,26,0
FC Road,2023-01-30 09:03:43.253438,18:24,Pedestrian,Rural,Fatal,1,0,1,34,1
Paud Road,2020-03-08 09:03:43.253438,12:05,Car,Rural,Major,1,1,0,37,1
Paud Road,2021-05-21 09:03:43.253438,03:26,Car,Main Road,Fatal,0,1,1,8,1
Satara Road,2023-11-30 09:03:43.253438,16:50,Bike,Highway,Minor,0,1,1,41,1
Satara Road,2022-03-07 09:03:43.253438,12:25,Bike,Highway,Minor,1,0,0,3,1
Sinhagad Road,2021-08-04 09:03:43.253438,23:17,Auto-rickshaw,Main Road,Minor,1,1,1,45,1
Baner Road,2022-07-18 09:03:43.253438,18:22,Pedestrian,Rural,Minor,1,1,1,33,0
MG Road,2019-12-18 09:03:43.253438,15:17,Car,Highway,Fatal,0,0,0,38,0
Kothrud Road,2021-06-15 09:03:43.253438,12:22,Bus,Main Road,Minor,1,1,1,1,1
Karve Road,2020-09-08 09:03:43.253438,10:13,Car,Main Road,Fatal,1,1,0,20,1
MG Road,2021-07-16 09:03:43.253438,05:11,Auto-rickshaw,Main Road,Major,1,0,0,4,0
MG Road,2020-11-15 09:03:43.253438,16:30,Bike,Highway,Minor,0,1,1,33,1
Aundh Road,2019-09-28 09:03:43.253438,01:25,Bicycle,Residential,Major,0,0,0,36,0
Aundh Road,2023-11-15 09:03:43.253438,20:48,Bike,Main Road,Major,1,0,0,18,1
FC Road,2019-12-13 09:03:43.253438,09:37,Bicycle,Rural,Minor,0,0,0,14,0
Baner Road,2022-04-21 09:03:43.253438,02:56,Truck,Main Road,Major,1,1,1,18,0
FC Road,2021-09-22 09:03:43.253438,18:39,Bicycle,Main Road,Fatal,0,0,1,6,0
Kothrud Road,2022-09-22 09:03:43.253438,21:18,Bike,Main Road,Minor,0,0,1,49,1
Karve Road,2022-05-08 09:03:43.253438,03:42,Pedestrian,Rural,Minor,0,1,0,39,0
Karve Road,2022-11-11 09:03:43.253438,15:09,Bus,Main Road,Fatal,0,1,0,22,1
MG Road,2024-05-30 09:03:43.253438,14:48,Pedestrian,Rural,Minor,1,1,0,20,0
Satara Road,2022-05-24 09:03:43.253438,21:31,Auto-rickshaw,Residential,Minor,1,1,0,25,1
Karve Road,2024-03-19 09:03:43.253438,15:52,Pedestrian,Main Road,Fatal,0,0,1,49,0
Satara Road,2020-02-01 09:03:43.253438,14:23,Pedestrian,Highway,Minor,0,1,1,28,1
Satara Road,2021-02-04 09:03:43.253438,13:50,Bike,Residential,Major,1,1,0,16,1
Kothrud Road,2020-06-27 09:03:43.253438,15:37,Bike,Rural,Major,1,0,1,10,1
Baner Road,2023-07-04 09:03:43.253438,12:47,Bicycle,Rural,Minor,0,1,1,8,1
MG Road,2020-10-17 09:03:43.253438,03:30,Bus,Rural,Fatal,1,1,1,42,1
Karve Road,2023-02-09 09:03:43.253438,11:37,Bike,Main Road,Major,0,0,1,40,1
Shivaji Road,2022-03-15 09:03:43.253438,03:56,Pedestrian,Residential,Major,1,1,1,1,0
Baner Road,2022-11-10 09:03:43.253438,22:25,Bus,Rural,Fatal,1,0,1,15,0
Aundh Road,2023-04-10 09:03:43.253438,11:24,Bike,Main Road,Major,1,1,0,4,0
Shivaji Road,2021-03-29 09:03:43.253438,01:40,Bus,Rural,Major,0,1,1,29,0
Kothrud Road,2023-11-06 09:03:43.253438,08:15,Bike,Residential,Minor,1,1,0,14,1
